#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0399441
firstFrontCount	20
frontCount	8
avgEvalTime	8.1488e-05
#end
Var1	Var2	Obj1	Obj2	
1.87671	2.65615	42.3089	15.2485	
3.78956	2.96194	92.5355	5.61885	
2.43359	3.13774	63.0711	10.0545	
3.52227	2.93151	84.0006	6.46232	
0.0276784	0.125644	0.0662097	48.4833	
0	0	0	50	
2.18705	1.4483	27.5231	20.5272	
1.4035	2.12687	25.9735	21.1897	
2.59587	2.485	51.6551	12.1051	
3.65128	4.39445	130.572	2.18574	
2.59812	2.63251	54.7213	11.374	
3.29266	3.63301	96.1613	4.78369	



#Generation 4 / 100
currentGen	4
evaluateCount	200
totalTime	1.14748
firstFrontCount	50
frontCount	1
avgEvalTime	1.3022e-05
#end
Var1	Var2	Obj1	Obj2	
0	0	0	50	
0	0	0	50	
4.50637	4.12412	149.263	1.01084	
1.70384	1.47367	20.2991	23.2997	
0.779216	0.690328	4.33492	36.3883	
0.0276784	0.125644	0.0662097	48.4833	
1.21042	1.19229	11.5466	28.8596	
0.386008	0.64383	2.25408	40.2651	
1.63051	1.21379	16.5274	25.6888	
4.21784	4.16861	140.67	1.30298	
2.84709	2.02087	48.7594	13.5102	
1.03758	1.68974	15.7272	26.6586	
1.46356	0.764016	10.9029	30.45	
0.116299	0.422844	0.769289	44.8009	
3.65128	4.39445	130.572	2.18574	
2.18705	1.4483	27.5231	20.5272	
2.05489	1.39386	24.6616	21.678	
4.2854	3.49841	122.414	2.76543	
2.1537	2.10777	36.3245	16.4664	
2.32631	2.3362	43.4781	14.2445	
3.47785	3.74162	104.38	3.90048	
2.7031	2.69557	58.2914	10.5862	
3.39992	4.02234	110.955	3.51608	
0.808277	1.14501	7.85748	32.4315	
1.82238	2.0995	30.9159	18.5102	
2.04568	1.94665	31.897	18.051	
3.78525	3.76029	113.872	3.01248	
3.37365	2.55991	71.7387	8.59904	
3.48755	4.36784	124.964	2.68713	
2.59587	2.485	51.6551	12.1051	
3.56854	3.04225	87.959	5.88187	
0.341448	0.279956	0.779848	43.9809	
0.888688	0.75996	5.46923	34.8808	
2.59812	2.63251	54.7213	11.374	
0.350252	0.48558	1.43386	42.0001	
3.38826	3.35649	90.9854	5.29882	
3.03708	2.72434	66.5834	9.03171	
0.803757	0.951305	6.20402	34.0004	
4.10289	4.1169	135.13	1.58467	
3.74323	3.1039	94.5836	5.17469	
3.50669	2.80677	80.6994	7.04023	
2.6789	3.02982	65.4253	9.26912	
3.65074	3.46765	101.41	4.16859	
0.97244	0.925855	7.21139	32.8199	
3.04925	2.49059	62.0039	10.1025	
4.01319	4.23548	136.18	1.55829	
1.4035	2.12687	25.9735	21.1897	
2.15884	2.25163	38.9218	15.6257	
3.29266	3.63301	96.1613	4.78369	
2.43359	3.13774	63.0711	10.0545	



#Generation 5 / 100
currentGen	5
evaluateCount	250
totalTime	1.173
firstFrontCount	50
frontCount	1
avgEvalTime	1.177e-05
#end
Var1	Var2	Obj1	Obj2	
5	4.31752	174.564	0.465779	
0	0	0	50	
0	0	0	50	
4.56177	4.39302	160.434	0.560468	
4.50637	4.12412	149.263	1.01084	
0.0276784	0.125644	0.0662097	48.4833	
2.32631	2.3362	43.4781	14.2445	
1.63051	1.21379	16.5274	25.6888	
0.386008	0.64383	2.25408	40.2651	
1.46356	0.764016	10.9029	30.45	
0.692784	0.709753	3.9348	36.9583	
3.48755	4.36784	124.964	2.68713	
2.18705	1.4483	27.5231	20.5272	
3.65128	4.39445	130.572	2.18574	
0.336795	0.193171	0.602983	44.8511	
1.03758	1.68974	15.7272	26.6586	
3.37365	2.55991	71.7387	8.59904	
1.70384	1.47367	20.2991	23.2997	
3.39992	4.02234	110.955	3.51608	
3.88946	3.78704	117.878	2.70457	
0.808277	1.14501	7.85748	32.4315	
2.84709	2.02087	48.7594	13.5102	
1.70774	0.759248	13.9713	28.8229	
1.63714	1.86559	24.6426	21.1333	
3.47785	3.74162	104.38	3.90048	
2.7031	2.69557	58.2914	10.5862	
0.350252	0.48558	1.43386	42.0001	
4.21784	4.16861	140.67	1.30298	
3.36932	3.09184	83.6471	6.3002	
3.65074	3.46765	101.41	4.16859	
1.66284	1.65495	22.0155	22.326	
3.56854	3.04225	87.959	5.88187	
2.59812	2.63251	54.7213	11.374	
0.341448	0.279956	0.779848	43.9809	
2.45991	3.64979	77.4884	8.27513	
3.29266	3.63301	96.1613	4.78369	
0.888688	0.75996	5.46923	34.8808	
2.12349	1.7655	30.5048	18.7363	
3.78525	3.76029	113.872	3.01248	
3.50669	2.80677	80.6994	7.04023	
2.14757	2.26628	38.9923	15.6096	
3.38826	3.35649	90.9854	5.29882	
0.779216	0.690328	4.33492	36.3883	
