#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0483512
firstFrontCount	1
frontCount	50
avgEvalTime	0.000446584
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
#Generation 3 / 100
currentGen	3
evaluateCount	150
totalTime	0.671652
firstFrontCount	6
frontCount	38
avgEvalTime	5.222e-06
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.483392	1.13724	0.483392	1.13724	0	0	
1.12742	0.250801	1.12742	0.250801	0	0	
1.0907	0.744222	1.0907	0.744222	0	0	
0.834524	0.803764	0.834524	0.803764	0	0	
0.361538	1.15388	0.361538	1.15388	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.89124	0.933033	0.89124	0.933033	0	0	
1.1166	0.749034	1.1166	0.749034	0	0	
0.676915	1.03749	0.676915	1.03749	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
1.09355	0.796169	1.09355	0.796169	0	0	
0.711085	0.974002	0.711085	0.974002	0	0	
1.12887	0.663295	1.12887	0.663295	0	0	
0.78945	0.993336	0.78945	0.993336	0	0	
0.787324	1.02288	0.787324	1.02288	0	0	
0.977279	1.00579	0.977279	1.00579	0	0	
0.495815	0.825219	0.495815	0.825219	0	0	
1.19054	0.681321	1.19054	0.681321	0	0	
0.481354	1.21382	0.481354	1.21382	0	0	
0.202437	1.15563	0.202437	1.15563	0	0	
0.921895	0.217712	0.921895	0.217712	0	0	
0.344882	1.20507	0.344882	1.20507	0	0	
0.584467	0.758929	0.584467	0.758929	0	0	
1.12219	0.906729	1.12219	0.906729	0	0	
1.19681	0.762239	1.19681	0.762239	0	0	
1.02947	1.02912	1.02947	1.02912	0	0	
0.568323	0.743275	0.568323	0.743275	0	0	
0.903078	0.251446	0.903078	0.251446	0	0	
0.413955	0.903656	0.413955	0.903656	0	0	
0.0668099	0.969752	0.0668099	0.969752	0	0	
1.27455	0.412382	1.27455	0.412382	0	0	
0.206895	1.23061	0.206895	1.23061	0	0	
0.555922	1.28595	0.555922	1.28595	0	0	
1.2531	0.245728	1.2531	0.245728	0	0	
0.41562	0.85518	0.41562	0.85518	0	0	
0.673136	1.30223	0.673136	1.30223	0	0	
1.11848	1.04783	1.11848	1.04783	0	0	
0.361661	1.33754	0.361661	1.33754	0	0	
0.926548	0.01144	0.926548	0.01144	0	0	
1.15267	1.06455	1.15267	1.06455	0	0	
1.33577	0.742389	1.33577	0.742389	0	0	
0.0771689	1.28145	0.0771689	1.28145	0	0	
1.1016	1.15735	1.1016	1.15735	0	0	
0.643694	0.610382	0.643694	0.610382	0	0	
1.38734	0.630057	1.38734	0.630057	0	0	
1.30652	0.906276	1.30652	0.906276	0	0	
1.17797	1.09911	1.17797	1.09911	0	0	
1.40975	0.467384	1.40975	0.467384	0	0	
1.14458	1.16	1.14458	1.16	0	0	
1.28987	0.977033	1.28987	0.977033	0	0	



#Generation 4 / 100
currentGen	4
evaluateCount	200
totalTime	0.706074
firstFrontCount	7
frontCount	22
avgEvalTime	1.5388e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
1.12742	0.250801	1.12742	0.250801	0	0	
0.546557	0.965953	0.546557	0.965953	0	0	
0.46317	0.979987	0.46317	0.979987	0	0	
0.316176	1.13139	0.316176	1.13139	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
0.483392	1.13724	0.483392	1.13724	0	0	
0.834524	0.803764	0.834524	0.803764	0	0	
0.361538	1.15388	0.361538	1.15388	0	0	
0.676915	1.03749	0.676915	1.03749	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
0.711085	0.974002	0.711085	0.974002	0	0	
1.02115	0.535467	1.02115	0.535467	0	0	
0.715396	0.924667	0.715396	0.924667	0	0	
0.799487	0.861438	0.799487	0.861438	0	0	
0.893636	0.799784	0.893636	0.799784	0	0	
0.78945	0.993336	0.78945	0.993336	0	0	
0.936144	0.852174	0.936144	0.852174	0	0	
0.891322	0.855318	0.891322	0.855318	0	0	
0.731613	1.00463	0.731613	1.00463	0	0	
0.803038	0.88839	0.803038	0.88839	0	0	
1.04708	0.635452	1.04708	0.635452	0	0	
1.0907	0.744222	1.0907	0.744222	0	0	
0.89124	0.933033	0.89124	0.933033	0	0	
1.12887	0.663295	1.12887	0.663295	0	0	
0.787324	1.02288	0.787324	1.02288	0	0	
0.785301	1.10053	0.785301	1.10053	0	0	
0.988733	0.916829	0.988733	0.916829	0	0	
1.1166	0.749034	1.1166	0.749034	0	0	
1.09355	0.796169	1.09355	0.796169	0	0	
0.934268	1.00277	0.934268	1.00277	0	0	
1.1342	0.689519	1.1342	0.689519	0	0	
0.977279	1.00579	0.977279	1.00579	0	0	
0.495815	0.825219	0.495815	0.825219	0	0	
1.19054	0.681321	1.19054	0.681321	0	0	
0.481354	1.21382	0.481354	1.21382	0	0	
0.787763	1.15804	0.787763	1.15804	0	0	
0.202437	1.15563	0.202437	1.15563	0	0	
0.921895	0.217712	0.921895	0.217712	0	0	
0.344882	1.20507	0.344882	1.20507	0	0	
0.584467	0.758929	0.584467	0.758929	0	0	
1.12219	0.906729	1.12219	0.906729	0	0	
0.951229	1.09104	0.951229	1.09104	0	0	
1.19681	0.762239	1.19681	0.762239	0	0	
1.02947	1.02912	1.02947	1.02912	0	0	
0.568323	0.743275	0.568323	0.743275	0	0	
0.903078	0.251446	0.903078	0.251446	0	0	
0.659749	1.24975	0.659749	1.24975	0	0	
0.413955	0.903656	0.413955	0.903656	0	0	



#Generation 5 / 100
currentGen	5
evaluateCount	250
totalTime	0.743228
firstFrontCount	10
frontCount	7
avgEvalTime	5.294e-06
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.546557	0.965953	0.546557	0.965953	0	0	
0.46317	0.979987	0.46317	0.979987	0	0	
0.316176	1.13139	0.316176	1.13139	0	0	
0.633896	0.79783	0.633896	0.79783	0	0	
0.580957	0.854095	0.580957	0.854095	0	0	
0.759683	0.734498	0.759683	0.734498	0	0	
0.318757	1.06416	0.318757	1.06416	0	0	
0.414592	1.0352	0.414592	1.0352	0	0	
0.849444	0.49435	0.849444	0.49435	0	0	
1.01503	0.0980953	1.01503	0.0980953	0	0	
1.12742	0.250801	1.12742	0.250801	0	0	
0.862937	0.526879	0.862937	0.526879	0	0	
0.361538	1.15388	0.361538	1.15388	0	0	
0.647797	1.07464	0.647797	1.07464	0	0	
0.450475	1.12268	0.450475	1.12268	0	0	
0.649254	0.832599	0.649254	0.832599	0	0	
0.771152	0.779814	0.771152	0.779814	0	0	
0.483392	1.13724	0.483392	1.13724	0	0	
0.834524	0.803764	0.834524	0.803764	0	0	
0.676915	1.03749	0.676915	1.03749	0	0	
1.17386	0.442928	1.17386	0.442928	0	0	
